lanzamiento,nivelEducativo,desempeño,nivelDelCurso,estado
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Advanced,No Deserto
Fall,Medio,mal,Advanced,No Deserto
Fall,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Advanced,No Deserto
Summer,Medio,buen,Intermediate,No Deserto
Fall,Medio,buen,Intermediate,No Deserto
Spring,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,buen,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,muy buen,Basic,No Deserto
Summer,Medio,muy buen,Intermediate,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Spring,Medio,buen,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Advanced,No Deserto
Fall,Medio,mal,Basic,No Deserto
Spring,Medio,buen,Advanced,No Deserto
Winter,Medio,buen,Advanced,No Deserto
Summer,Medio,mal,Advanced,No Deserto
Summer,Medio,buen,Basic,No Deserto
Winter,Medio,buen,Basic,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Summer,Medio,buen,Basic,No Deserto
Winter,Medio,buen,Intermediate,No Deserto
Fall,Medio,buen,Basic,No Deserto
Fall,Medio,buen,Advanced,No Deserto
Summer,Medio,buen,Advanced,No Deserto
Winter,Medio,buen,Basic,No Deserto
Summer,Medio,mal,Basic,No Deserto
Spring,Medio,muy buen,Intermediate,No Deserto
Summer,Medio,muy buen,Advanced,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Summer,Medio,buen,Intermediate,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Advanced,No Deserto
Winter,Medio,mal,Advanced,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
